Intake24 code,Action,English Description,Local description,Local description/Malay,Local description/Mandarin,Local description/Tamil,Food composition table,Food composition record ID,Ready Meal Option,Same As Before Option,Reasonable Amount,Use In Recipes,Associated Food / Category,Brand Names,Associated Food / Category (Malay),Associated Food / Category (Tamil),Portion size estimation methods,Categories,,,,,,,
ALBU,2,Almond butter / spread,Almond butter / spread,Mentega/sapuan kacang badam,杏仁酱/涂抹,"பாதாம் வெண்ணெய், spread",Australia,11B10223,Inherited,Inherited,Inherited,Inherited,BRED({en: Did you have Bread / crumpets / pancakes / yorkshire puddings with your Almond butter / spread?}),,BRED({ms: Adakah anda mengambil roti / penkek bersama mentega/sapuan kacang badam?}),BRED({ta: பாதாம் குரோண்ட்ஸ் உடன் சேர்த்து ரொட்டி / க்ரம்பெட்ஸ் / பான்கேக்குகள் / யார்க்ஷயர் புட்டுகள் சாப்பிட்டீர்களா?}),"Method: as-served, conversion: 1.0, serving-image-set: peanut_butter_spread
Method: guide-image, conversion: 1.25, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: tablespoons, unit0-weight: 25, unit0-omit-food-description: false",BTTR,BUTR,PNUT,SUGR,,,,
ALCR,2,Almond croissants,Almond croissants,Croissant kacang badam,杏仁可颂,"பாதாம் க்ராஸாந, croissants",HPB,SIN00001013,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: NDNS_croissant",CAKE,FRTP,,,,,,
ALFA,2,"Alfalfa sprouts, raw","Alfalfa sprouts, raw",Tauge alfafa,紫花苜蓿豆芽，生的,"குதிரை மசால், அல்பால்டா பச்சைப் பயறு முளைகள், alfafa",Australia,13A11666,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 3.83, serving-image-set: lettuce, leftovers-image-set: lettuce_leftovers
Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: tablespoons, unit0-weight: 8.8, unit0-omit-food-description: false",SLDV,SLW1,SW05,VTGB,,,,
ALLB,2,Bran e.g. All bran,Bran e.g. All bran,Bran E.g All bran,麸皮，例如全麸麦片,"தவிடு, bran",HPB,SIN00000607,Inherited,Inherited,Inherited,Inherited,"MCRL({en: Did you have Milk on cereal with your bran?}),
SUGR({en: Did you have Sugar / jams / marmalades / spreads / pates with your bran?})",,"MCRL({ms: Adakah anda mengambil susu bersama bran?}),
SUGR({ms: Adakah anda mengambil jem / sapuan bersama bran?})","MCRL({ta: ப்ரான் உடன் சேர்த்து தானியத்தில் பால் சாப்பிட்டீர்களா?}),
SUGR({ta: ப்ரான் உடன் சேர்த்து சர்க்கரை / ஜாம்கள் / மர்மலேடுகள் / ஸ்ப்ரெட்கள் / பேட்ஸ் சாப்பிட்டீர்களா?})","Method: cereal, conversion: 1.0, type: flake",CRLS,FCRL,,,,,,
ALLS,1,Allspice,Allspice,,,,AUSNUT,10E10114,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: teaspoons, unit0-weight: 2.55, unit0-omit-food-description: false",HRSP,SLW2,SPCE,SW06,,,,
ALMD,3,"Almonds, unsalted","Almonds, unsalted","Kacang badam, tiada garam",无盐杏仁,"பாதாம் (உப்பில்லாத), unsalted",MyFCD,104001,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 0.84, serving-image-set: mixed_nuts
Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: nuts, unit0-weight: 1.2, unit0-omit-food-description: true, unit1-name: handfuls, unit1-weight: 28, unit1-omit-food-description: false, unit2-name: cups, unit2-weight: 122.5, unit2-omit-food-description: false",CRPS,NUTS,SLW1,SW05,,,,
ALML,2,Almond milk,Almond milk,Susu kacang badam,杏仁奶,பாதாம் பால்,Australia,09E10065,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: drink-scale, conversion: 1.0, drinkware-id: mugs, initial-fill-level: 0.9, skip-fill-level: false
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 21, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 262.5, unit1-omit-food-description: false",DRNK,MCRL,MDNK,MHDK,NMLK,,,
ALOE,2,Aloe vera juice,Aloe vera juice,Jus aloe vera/daun lidah buaya,芦荟汁,கற்றாழை சாறு,HPB,SIN00000050,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: guide-image, conversion: 1.0, guide-image-id: AUSHydBottle
Method: guide-image, conversion: 1.0, guide-image-id: AUSjuice",DRNK,VGTJ,,,,,,
ALSD,2,Alcoholic soft drink e.g. Crabbies ginger beer,Alcoholic soft drink e.g. Crabbies ginger beer,Minuman ringan beralkohol Contoh: Crabbies ginger beer,酒精软饮料，例如 Crabbies 姜啤酒,"மதுபானம், குளிர்பானம்",Australia,01A30192,Inherited,TRUE,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSalccans
Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false",ALCL,ALCO,DRNK,,,,,
AMAR,2,Amaretti biscuits,Amaretti biscuits,Biskut Amaretti,杏仁饼干,"அமரெட்டி பிஸ்கெட், biscuit",Australia,02C20391,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: biscuits, unit0-weight: 10, unit0-omit-food-description: true",BSCT,OTBS,SWBC,,,,,
AMWA,2,Frozen waffles e.g. Nanna's,Frozen waffles e.g. Nanna's,Wafel sejuk beku Contoh: Nanna's,冷冻华夫饼，例如 Nanna's 天使蛋糕,"உறைந்த வாப்பிள், waffle",Australia,02C20361,Inherited,Inherited,Inherited,Inherited,"SUGR({en: Did you have Sugar / jams / marmalades / spreads / pates with your Frozen waffles?}),
BTTR({en: Did you have Butter / margarine / oils with your Frozen waffles?})",,"SUGR({ms: Adakah anda mengambil jem / sapuan bersama wafel sejuk beku?}),
BTTR({ms: Adakah anda mengambil mentega / marjerin bersama wafel sejuk beku?})","BTTR({ta:உறைந்த வாப்பிள், waffle  உடன் சேர்த்து வெண்ணெய் / மார்கரைன்  / எண்ணெய்கள் சாப்பிட்டீர்களா?}),
SUGR({ta: உறைந்த வாப்பிள், waffle  உடன் சேர்த்து சர்க்கரை / ஜாம்கள் / மர்மலேடுகள் / ஸ்ப்ரெட்கள் / பேட்ஸ் சாப்பிட்டீர்களா?})

","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: waffles, unit0-weight: 17, unit0-omit-food-description: true",CAKE,DGNT,,,,,,
ANCH,1,Anchovies,Anchovies,,,,AUSNUT,05A10666,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUScannedfish
Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: anchovies, unit0-weight: 4, unit0-omit-food-description: true",FISH,OILY,SLW1,SW03,,,,
ANGE,2,Angel cake,Angel cake,Kek Angel,天使蛋糕,"ஏஞ்சல் கேக், cake",Australia,02E10446,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gcake
Method: as-served, conversion: 1.0, serving-image-set: gateau, leftovers-image-set: gateau_leftovers",CAKE,SPNG,SPON,,,,,
ANSL,1,Angel slices e.g. Mr Kipling,Angel slices e.g. Mr Kipling,,,,AUSNUT,02E10612,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gcake",CAKE,SLBC,,,,,,
APBL,1,"Apple and blackcurrant squash (juice), no added sugar, diluted","Apple and blackcurrant squash (juice), no added sugar, diluted",,,,AUSNUT,01B20416,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false",DRNK,SQDK,,,,,,
APCA,1,Apple cake,Apple cake,,,,AUSNUT,02E10476,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gcake
Method: as-served, conversion: 1.45, serving-image-set: gateau, leftovers-image-set: gateau_leftovers",CAKE,FTCA,SPNG,,,,,
APEL,1,Apple and elderflower juice,Apple and elderflower juice,,,,AUSNUT,01B20440,Inherited,TRUE,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: guide-image, conversion: 1.0, guide-image-id: AUSHydBottle
Method: guide-image, conversion: 1.0, guide-image-id: AUSjuice",DRNK,FJCE,,,,,,
APER,2,"Aperitifs e.g. Martini, Cinzano, Dubonnet","Aperitifs e.g. Martini, Cinzano, Dubonnet","Aperitif Contoh: Martini, Cinzano, Dubonnet",开胃酒，例如 马提尼，金赞诺，杜松那,"மதுபானம், Martini, Cinzano, Dubonnet",Australia,01A30145,Inherited,TRUE,Inherited,Inherited,"DRNK({en: Did you have Drinks with your Aperitifs e.g. Martini, Cinzano, Dubonnet?})",,"DRNK({ms: Adakah anda mengambil minuman bersama Aperitifs e.g. Martini, Cinzano, Dubonnet?})","DRNK({ta: அப்பரிடீஃப் , எ.கா. மார்டினி, சின்சானோ, டுபோன்நெட் உடன் சேர்த்து பானங்கள் குடித்தீர்களா?})","Method: drink-scale, conversion: 1.0, drinkware-id: glasses_spirits, initial-fill-level: 0.9, skip-fill-level: false
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: single_measures, unit0-weight: 31.8, unit0-omit-food-description: false, unit1-name: double_measures, unit1-weight: 63.6, unit1-omit-food-description: false",ALCL,DRNK,SPLI,,,,,
APJC,2,Apple juice,Apple juice,Jus epal,苹果汁,ஆப்பிள் சாறு,HPB,SIN00000063,Inherited,TRUE,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: guide-image, conversion: 1.0, guide-image-id: AUSHydBottle
Method: guide-image, conversion: 1.0, guide-image-id: AUSjuice",DRNK,FJCE,,,,,,
APOP,2,Pre-mixed alcoholic drinks e.g. Vodka Cruiser,Pre-mixed alcoholic drinks e.g. Vodka Cruiser,Minuman beralkohol pra-campuran Contoh: Vodka Cruiser,预调酒精饮料(例如 Vodka Cruiser),"முன்கலவை மதுபானம், Vodka Cruiser",Australia,01A30158,Inherited,TRUE,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSalccans
Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false",ALCL,ALCO,DRNK,,,,,
APPB,1,"Apple bakewell / pie, slice from large pie","Apple bakewell / pie, slice from large pie",,,,AUSNUT,02E50269,FALSE,Inherited,Inherited,Inherited,"CREM, ICEC, CSTD",,,,"Method: as-served, conversion: 1.0, serving-image-set: large_meat_pie",CAKE,FRTP,,,,,,
APPC,1,Apple charlotte,Apple charlotte,,,,AUSNUT,02E50269,FALSE,Inherited,Inherited,Inherited,"CREM, ICEC, CSTD",,,,"Method: as-served, conversion: 1.0, serving-image-set: sponge_pudding, leftovers-image-set: sponge_pudding_leftovers",DESS,SSPD,,,,,,
APPS,2,Apple strudel,Apple strudel,Strudel epal,"脆皮德式苹果卷饼, strudel","ஆப்பிள் ஸ்ட்ரூடல், strudel",HPB,SIN00000069,Inherited,Inherited,Inherited,Inherited,"CREM({en: Did you have Cream with your Apple strudel?}),
ICEC({en: Did you have  Ice cream with your Apple strudel?}),
CSTD({en: Did you have Custard  with your Apple strudel?})",,"CREM({ms: Adakah anda mengambil krim bersama Strudel epal?}),
ICEC({ms: Adakah anda mengambil aiskrim bersama Strudel epal?}),
CSTD({ms: Adakah anda mengambil kastad bersama Strudel epal?})","CREM({ta: ஆப்பிள் ஸ்ட்ரூடல் உடன் சேர்த்து கிரீம் சாப்பிட்டீர்களா?}),
ICEC({ta: ஆப்பிள் ஸ்ட்ரூடல் உடன் சேர்த்து ஐஸ்கிரீம் சாப்பிட்டீர்களா?}),
CSTD({ta: ஆப்பிள் ஸ்ட்ரூடல் உடன் சேர்த்து கஸ்டர்ட் சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pastries, unit0-weight: 70, unit0-omit-food-description: true",CAKE,FRTP,,,,,,
APRC,2,"Apricots, tinned in syrup","Apricots, tinned in syrup","Aprikot, sirap dalam tin",糖浆罐头杏桃,பாதாமி பழம்,HPB,SIN00000082,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.1, serving-image-set: canned_fruit, leftovers-image-set: canned_fruit_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: AUSallcans
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 20.6, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 257.5, unit1-omit-food-description: false",CAND,FRTS,SLW1,SW05,,,,
APRD,2,Dried apricots,"Apricot, dried",Aprikot kering,干杏桃 ,"உலர்ந்த பாதாமி பழம், dried",HPB,SIN00000084,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",DRIF,FRTS,SLW1,SW05,,,,
APRI,1,"Apricot tart, slice of large tart","Apricot tart, slice of large tart",,,,AUSNUT,02E50276,Inherited,Inherited,Inherited,Inherited,"CREM, ICEC, CSTD",,,,"Method: as-served, conversion: 1.0, serving-image-set: large_meat_pie",CAKE,TART,,,,,,
APRJ,1,"Apricots, tinned in juice","Apricots, tinned in juice",,,,AUSNUT,06C10205,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: canned_fruit, leftovers-image-set: canned_fruit_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: AUSallcans
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 18.4, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 230, unit1-omit-food-description: false",CAND,FRTS,SLW1,SW05,,,,
APSE,2,Apple sauce,Apple sauce,Sos epal,苹果酱,"ஆப்பிள் சுவைச்சாறு , sauce",Australia,10A10533,TRUE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: apple_stewed, leftovers-image-set: apple_stewed_leftovers
Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: teaspoons, unit0-weight: 5.2, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 20.8, unit1-omit-food-description: false, unit2-name: cups, unit2-weight: 260, unit2-omit-food-description: false",BBFS,COND,SLW2,SW06,,,,
APST,1,"Apple, stewed","Apple, stewed",,,,AUSNUT,06E10099,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: apple_stewed, leftovers-image-set: apple_stewed_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 21.2, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 265, unit1-omit-food-description: false",FRTS,SLW1,STWF,SW05,,,,
APTO,1,Apple turnovers,Apple turnovers,,,,AUSNUT,02E50328,Inherited,Inherited,Inherited,Inherited,"CREM, ICEC, CSTD",,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pastries, unit0-weight: 156, unit0-omit-food-description: true",CAKE,FRTP,,,,,,
ARAB,2,Arrabiata sauce,Arrabiata sauce,Sos arabiata,"辣番茄酱, arrabiata","அரபியட்டா சுவைச்சாறு, arrabiata",Australia,10A10448,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: tomato_sauce, leftovers-image-set: tomato_sauce_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 22, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 275, unit1-omit-food-description: false",SAUC,TOMS,,,,,,
ARBR,1,"Arborio, risotto rice, cooked","Arborio, risotto rice, cooked",,,,AUSNUT,02A10414,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: rice, leftovers-image-set: rice_leftovers",CARB,RICE,,,,,,
ARRR,1,White rice (uncooked),"Arborio, risotto rice, uncooked",,,,AUSNUT,02A10368,FALSE,Inherited,Inherited,RecipesOnly,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 2000, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 2000, unit1-omit-food-description: false",CPRNC,RWFD,URICE,,,,,
ARRW,1,Arrowroot powder,Arrowroot powder,,,,AUSNUT,02A20100,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 2.55, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 10.2, unit1-omit-food-description: false",MISC,RWFD,,,,,,
ARTI,1,"Artichoke, cooked","Artichoke, cooked",,,,AUSNUT,13A11806,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: artichoke_hearts, unit0-weight: 27, unit0-omit-food-description: true",PCKL,SLDV,SLW1,SLW2,SW06,VTGB,,
ASAS,1,"Apple squash (juice), diluted","Apple squash (juice), diluted",,,,AUSNUT,01B30356,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false",DRNK,SQDK,,,,,,
ASDR,1,Asian-style Dressing,Asian-style Dressing,,,,AUSNUT,10F20121,TRUE,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.11, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.55, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 22.2, unit1-omit-food-description: false",PCKL,SDRS,SLW2,SW06,,,,
ASNS,1,"Apple squash (juice), no added sugar, diluted","Apple squash (juice), no added sugar, diluted",,,,AUSNUT,01B20416,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false",DRNK,SQDK,,,,,,
ASPR,2,"Asparagus, cooked","Asparagus, cooked","Asparagus, dimasak",煮过的芦笋,"தண்ணீர் விட்டான் கிழங்கு, நீலாவரிக்கிழங்கு, சமைத்த அஸ்பாரகஸ் , asparagus",Australia,13A11916,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: spears, unit0-weight: 11, unit0-omit-food-description: true",ACRH,SLW1,SW05,VTGB,,,,
AUBP,2,Eggplant (aubergine) parmigiana / Eggplant bake,Eggplant (aubergine) parmigiana / Eggplant bake,Terung Parmigiana/Terung Bakar,"茄子巴马干酪, parmagiana","கத்தரிக்காய் பர்மேசன், சுத்த கத்திரிக்காய் 
",Australia,13B20290,TRUE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: lasagne, leftovers-image-set: lasagne_leftovers",SLW1,SW05,VGDI,VTGB,,,,
AVOC,2,Avocado,"Avocado, fresh",Avocado,牛油果,"வெண்ணெய் பழம், avocado",MyFCD,106003,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: avocado
Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: small_avocados, unit0-weight: 101, unit0-omit-food-description: true, unit1-name: medium_avocados, unit1-weight: 159, unit1-omit-food-description: true, unit2-name: large_avocados, unit2-weight: 216, unit2-omit-food-description: true",BERR,FREF,FRTS,SLDV,SW05,VTGB,,
BABU,1,Bacon burger (no bun),Bacon burger (no bun),,,,AUSNUT,08E30372,TRUE,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gbur",BRGS,MEAT,,,,,,
BABY,2,Babybel,Babybel,Babybel,Babybel 芝士,"பாலாடைக்கட்டி, சீஸ், babybel",Australia,09B10174,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 21, unit0-omit-food-description: false",CHES,CHSE,SLW1,SPRD,,,,
BADR,1,"Basil, dried","Basil, dried",,,,AUSNUT,13A12001,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: teaspoons, unit0-weight: 2.65, unit0-omit-food-description: false",HRBS,HRSP,SLW2,SW06,,,,
BAEP,1,Bacon and egg pie (slice from large pie) (includes homemade),Bacon and egg pie (slice from large pie) (includes homemade),,,,AUSNUT,02E60301,TRUE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: large_meat_pie
Method: guide-image, conversion: 1.0, guide-image-id: gpie
Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: individual_pies, unit0-weight: 200, unit0-omit-food-description: false",MEAT,MTPS,,,,,,
BAGS,2,Seeded bagel,Seeded bagel,Bagel Dengan Bijirin,含籽贝果面包,"விதையுடன் கூடிய பேகல், bagel",Australia,02B10607,Inherited,Inherited,Inherited,Inherited,"SUGR({en: Did you have Sugar / jams / marmalades / spreads / pates with your Seeded bagel?}),
BTTR({en: Did you have Butter / margarine / oils with your Seeded bagel?})",,"SUGR({ms: Adakah anda mengambil jem / sapuan Bagel bersama bijirin?}),
BTTR({ms: Adakah anda mengambil mentega / marjerin Bagel bersama bijirin?})","SUGR({ta: விதையுடன் கூடிய பேகல் உடன் சேர்த்து சர்க்கரை / ஜாம்கள் / மர்மலேடுகள் / ஸ்ப்ரெட்கள் / பேட்ஸ் சாப்பிட்டீர்களா?}),
BTTR({ta: விதையுடன் கூடிய பேகல் உடன் சேர்த்து வெண்ணெய் / மார்கரைன்  / எண்ணெய்கள் சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: bagels, unit0-weight: 120, unit0-omit-food-description: true",BRDR,BRED,SW01,,,,,
