"FCT record ID","FCT","Food ID","Locale","Food code","English name","Local name","Sub-group code","Alternative Name","Tags","Water","Total nitrogen","Nitrogen conversion factor","Protein","Fat","Carbohydrate","Energy (kcal)","Energy (kJ)","Alcohol","Englyst fibre","Starch","Total sugars","AOAC","Non-milk extrinsic sugars","Intrinsic and milk sugars","Glucose","Fructose","Maltose","Lactose","Sucrose","Other sugars (UK)","FS Table sugar","FS Other Added Sugar","FS Honey","FS Fruit Juice","FS Dried Fruit","FS Fruit Puree","FS Stewed Fruit","FS Vegetable Puree","Satd FA","Cis-Mon FA","Cis-n3 FA","Cis-n6 FA","Trans FA","Cholesterol","Retinol","Total carotene","Alpha-carotene","Beta-carotene","Beta cryptoxanthin","Vitamin A","Vitamin D","Thiamin","Riboflavin","Niacin","Tryptophan/60","Niacin equivalent","Vitamin C","Vitamin E","Vitamin B6","Vitamin B12","Folate","Pantothenic acid","Biotin","Sodium","Potassium","Calcium","Magnesium","Phosphorus","Iron","Haem iron","Non-haem iron","Copper","Zinc","Chloride","Iodine","Manganese","Selenium","Total FS","Fruit","Dried fruit","Fruit juice","Smoothie fruit","Tomatoes","Tomato puree","Brassicaceae","Yellow Red Green","Beans","Nuts","Other Vegetables","Beef","Lamb","Pork","Processed Red Meat","Other Red Meat","Burgers","Sausages","Offal","Poultry","Processed Poultry","Game Birds","White Fish","Oily Fish","Canned Tuna","Shellfish","Cottage Cheese","Cheddar Cheese","Other Cheese","Vitamin A, retinol activity equivalents"
"3896","UK_NDB_3","30075","UK_current","19APJU00","Apple juice drink, ready to drink, no added sugar","Apple juice drink, ready to drink, no added sugar","58C","","","99","0","6.25","0","0","1","4","16","0","0","0","1","0","1","0","0.3","0.4","0","0","0.3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0","0.1","0","0","14","0","0","0","2","0.1","0","0","48","5","3","3","0","0","0","0","0","2","0","0.03","0","1","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"8691","UK_NDB_3","30094","UK_current","19APJUDR","Apple juice drink, ready to drink","Apple juice drink, ready to drink","57C","","","88.9","0","6.25","0.1","0","8.1","31","132","0","0","0.6","7.5","0","7.5","0","2.5","3.7","0","0","1.3","0","4.6","0","0","2.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0.1","20.4","0","0","0","2","0","0","0","42","6","3","1","0","0","0","0","0","0","0","0","0","7.4","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10697","UK_NDB_3","30076","UK_current","19APPU","Apple puree","Apple puree","40A","","","85.3","0.1","6.94","0.4","0.1","11.3","45","192","0","1.6","0","11.3","1.7","5.7","5.7","1.6","6","0","0","3.7","0","0","0","0","0","0","11.3","0","0","0.02","0.01","0.01","0.04","0","0","0","17","0","10","14","3","0","0.02","0.02","0.1","0.1","0.2","3","0.3","0.1","0","0","0","1","3","101","3","3","8","0.1","0","0.1","0.02","0.1","0","0","0.1","0","11.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10693","UK_NDB_3","30077","UK_current","19APPU00","Apricot puree","Apricot puree","40R","","","87.2","0.1","6.25","0.9","0.1","7.2","31","134","0","1.7","0","7.2","1.4","3.6","3.6","1.6","0.9","0","0","4.6","0","0","0","0","0","0","7.2","0","0","0.05","0.01","0","0.01","0","0","0","405","2","405","0","68","0","0.04","0.05","0.5","0.1","0.6","6","0.5","0.1","0","5","0.2","1","2","270","15","11","20","0.5","0","0.5","0.06","0.1","3","1","0.1","1","7.2","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10951","UK_NDB_3","30078","UK_current","19APSLCA","Apple slices, canned","Apple slices, canned","40D","","","87.3","0","6.25","0.2","0.3","9.7","40","169","0","1.3","0","9.7","1.7","0","9.7","2.1","5.9","0","0","1.7","0","0","0","0","0","0","0","9.7","0","0.06","0.03","0.03","0.12","0","0","0","0","0","0","0","0","0","0.02","0.03","0.2","0.1","0.3","12.5","0.1","0.1","0","0","0.1","1","1","87","3","3","7","0.1","0","0.1","0.03","0","73","4","0.02","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"1965","UK_NDB_3","30079","UK_current","19APST","Apricots, stewed","Apricots, stewed","40R","","","88.3","0.1","6.25","0.7","0.1","6.2","27","115","0","1.5","0","6.2","1.3","3.1","3.1","1.6","1","0","0","3.5","0","0","0","0","0","0","0","6.2","0","0.05","0.01","0","0.01","0","0","0","110","0","110","0","18","0","0.03","0.03","0.3","0.1","0.4","4","0.5","0.1","0","1","0.1","1","1","200","13","7","7","0.8","0","0.8","0.05","0.1","2","1","0.1","1","0","86.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10422","UK_NDB_3","30080","UK_current","19ASRA","Asparagus, raw","Asparagus, raw","36B","","","91.4","0.5","6.25","2.9","0.6","2","25","104","0","1.7","0.1","1.9","3.2","0","1.9","0.7","1.1","0","0","0.1","0","0","0","0","0","0","0","0","0","0.1","0.15","0.01","0.1","0","0","0","315","10","310","0","53","0","0.16","0.06","1","0.5","1.5","12","1.2","0.1","0","175","0.2","0","1","260","27","13","72","0.7","0","0.7","0.08","0.7","60","0","0.2","1","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"5559","UK_NDB_3","30081","UK_current","19AUPOCU","Aubergine &amp; potato curry (e.g. brinjal aloo)","Aubergine and potato curry (e.g. brinjal aloo / aloo baingan)","37M","","","82.8","0.2","6.89","1","8.4","4.8","97","403","0","1.4","1.5","3","1.7","0","3","1.4","1.2","0","0","0.4","0","0","0","0","0","0","0","0","0.6","0.59","4.64","0.55","2.12","0","0","0","209","17","192","17","35","0","0.06","0.02","0.5","0.2","0.6","4.2","2.3","0.1","0","11","0.1","1","280","195","15","11","21","0.5","0","0.5","0.05","0.2","468","2","0.11","0","0.6","0","0","0","0","27.47","0","0","0","0","0","51.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"11395","UK_NDB_3","30082","UK_current","19AUPU","Aubergine puree","Aubergine puree","37M","","","92.9","0.1","6.06","0.9","0.4","2.2","15","64","0","2","0.2","2","1.8","0","2","1.1","0.8","0","0","0.1","0","0","0","0","0","0","0","0","2","0.09","0.04","0.01","0.18","0","0","0","70","60","40","0","12","0","0.02","0.01","0.1","0.2","0.3","2.2","0","0.1","0","18","0.1","0","2","210","10","11","16","0.3","0","0.3","0.01","0.2","14","1","0.1","1","2","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"1658","UK_NDB_3","30083","UK_current","19AURA","Aubergine, raw","Aubergine, raw","36B","","","92.9","0.1","6.25","0.9","0.4","2.2","15","64","0","2","0.2","2","1.8","0","2","1.1","0.8","0","0","0.1","0","0","0","0","0","0","0","0","0","0.09","0.04","0.01","0.18","0","0","0","70","60","40","0","12","0","0.02","0.01","0.1","0.2","0.3","4","0","0.1","0","18","0.1","0","2","210","10","11","16","0.3","0","0.3","0.01","0.2","14","1","0.1","1","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"11363","UK_NDB_3","30084","UK_current","19AVPU","Avocado puree","Avocado puree","40R","","","72.5","0.3","6.25","1.9","19.5","1.9","190","784","0","3.4","0","0.5","3.1","0","1.9","0.3","0.1","0","0","0.1","0","0","0","0","0","0","1.4","0","0","4.11","12.11","0.03","2.12","0","0","0","16","4","14","0","3","0","0.1","0.18","1.1","0.3","1.4","6","3.2","0.4","0","11","1.1","4","6","450","11","25","39","0.4","0","0.4","0.19","0.4","6","2","0.2","0","1.4","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10250","UK_NDB_3","30085","UK_current","19B1250","Vitamin B12 (50ug), capsule","Vitamin B12 (Methylcobalamin) (50ug)","54M","","","0","0","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10846","UK_NDB_3","30086","UK_current","19B12500","Vitamin B12 (500ug), tablet","Vitamin B12 (Methylcobalamin) (500ug)","54M","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"4335","UK_NDB_3","30087","UK_current","19B2100","Vitamin B2 (100mg), capsule","Vitamin B2 (Riboflavin) (100mg)","54M","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"11172","UK_NDB_3","30088","UK_current","19B3100","Vitamin B3 (niacin), 100mg, tablet","Vitamin B3 (niacin), 100mg","54M","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2607","UK_NDB_3","30089","UK_current","19BA","Batter","Batter, cooked","1R","","","56.7","1.2","6.1","7.2","3.9","32.1","184","783","0","1.3","30","2.1","1.5","0","2.1","0","0","0","1.9","0.2","0","0","0","0","0","0","0","0","0","1.69","1.12","0.03","0.37","0.03","71","37","8","0","8","0","39","0.59","0.1","0.18","1","1.7","2.6","0.9","0.5","0.1","0.7","11","0.5","5","231","159","104","16","117","1.1","0","1.1","0.07","0.6","405","19","0.27","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"1315","UK_NDB_3","30096","UK_current","19BAANEG","Bacon and egg in a bun/muffin (e.g. bacon and egg McMuffin)","Bacon and egg in a bun/muffin (e.g. bacon and egg McMuffin)","32A","","","52.2","2.2","6.25","13.8","12.3","22.7","250","1050","0","0.9","19.7","2.9","1.8","0","2.9","2.2","0","0","0","0.6","0","2.4","0","0","0","0","0","0","0.2","4.25","5.48","0.17","1.65","0.13","100","40","20","0","20","0","43","0.36","0.17","0.29","3.1","2.3","5.4","0","0.2","0","0.4","21","3.9","9","490","192","129","24","207","2.1","0.2","1.9","0.39","1.7","620","22","0.21","11","2.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10329","UK_NDB_3","30120","UK_current","19BABIEG","Baby biscuits/biscotti (e.g. Organix goodies, Heinz biscotti)","Baby biscuits/biscotti (e.g. Organix goodies, Heinz, Kiddylicious)","52R","","","2.5","1.3","6.25","8.1","13.7","71.1","419","1771","0","4.1","52","19.1","4.8","17.6","1.5","4.3","10.5","0.1","0.5","3.6","0","0","0","0","17.2","0.8","0","0","0","1.97","3.35","0.39","7.39","0.09","1","3","2","0","2","0","4","0","1.2","0.07","2.7","1.8","4.5","14.7","3.9","0.2","0","10","0.5","4","167","406","75","47","161","2.2","0","2.2","0.19","1","93","2","1.26","3","17.2","0","1.15","29.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"1979","UK_NDB_3","30097","UK_current","19BACH","Banana chips","Banana chips","40C","","","3.1","0.2","6.25","1","31.9","59.9","516","2156","0","1.7","37.8","22.1","2.3","16.3","5.8","0.1","0.3","0","0","21.7","0","13.4","0","0","0","8.7","0","0","0","25.1","1.9","0","0.5","0","0","0","186","0","186","0","31","0","0.04","0.07","0.7","0.3","1","0","1.1","0.3","0","15","0.4","3","5","470","13","66","61","0.8","0","0.8","0.1","0.4","316","32","0.6","2","13.4","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"1115","UK_NDB_3","30148","UK_current","19BACHBA","Battered chicken balls (with or without sauce)","Battered chicken balls","26A","","","44.5","2.2","6.25","14","9.4","20.8","218","918","0","0.2","20.1","0.8","1","0.2","0.6","0.6","0","0.3","0","0","0","0","0","0","0","0","0","0","0","0.9","5.17","0.34","2.45","0.01","30","0","0","0","0","0","0","0","0.09","0.12","7.6","3.7","11.3","0","2.7","0.4","1.7","8","1.1","1","520","350","30","27","218","0.8","0.3","0.5","0.07","0.6","680","3","0.2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.07","0","0","0","0","0","0","0","0","0",""
"11599","UK_NDB_3","30142","UK_current","19BACHBU","Bacon cheeseburger, including bun","Bacon cheeseburger, in a bun, homemade","23B","","","41.7","3.2","6.08","20.1","16.7","17.7","297","1242","0","0.9","16.2","1.4","1.2","0","1.4","0.4","0.1","0.9","0","0","0","1","0","0","0","0","0","0","0","7.93","6.15","0.16","0.99","0.48","54","48","18","0","18","0","51","0.84","0.18","0.18","3.7","3.8","7.5","0","0.3","0.2","1.6","18","0.7","2","632","252","166","23","206","1.7","0.4","1.2","0.16","3.6","980","11","0.19","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.1","0","39.2","0","0","0","0","0","0","0","0","0","0","13.1","0",""
"4369","UK_NDB_3","30098","UK_current","19BACO","Banana, baked","Banana, baked","40C","","","64.3","0.3","8.93","1.7","0.1","29","116","497","0","1.1","3.1","25.9","2","0","25.9","11.3","10.7","0","0","3.9","0","0","0","0","0","0","0","0","0","0.06","0.01","0.03","0.01","0","0","0","37","17","29","0","6","0","0.21","0.06","1","0.3","1.4","6.2","0.3","0.4","0","20","0.6","4","0","471","9","39","33","0.4","0","0.4","0.14","0.3","156","5","0.51","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"4","UK_NDB_3","30099","UK_current","19BAEGPE","Barley, e.g pearl barley/wholegrain (uncooked)","Barley, e.g pearl barley/wholegrain (uncooked)","1R","","","11.7","1.8","5.83","10.6","2.1","64","301","1282","0","14.8","62.2","1.8","14.8","0","1.8","0.1","0.1","0.5","0","1","0","0","0","0","0","0","0","0","0","0.53","0.25","0.11","1.15","0","0","0","0","0","0","0","0","0","0.31","0.1","5.2","2.6","7.8","0","0.9","0.6","0","50","0.7","10","4","560","50","91","380","6","0","6","0.3","3.3","23","7","1.7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"903","UK_NDB_3","30100","UK_current","19BAGAJO","Bacon/gammon joint, boiled (including fat)","Bacon/gammon joint, boiled (including fat)","22B","","","61.2","3.7","6.25","23.3","12.3","0","204","851","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.12","5.34","0.25","1.67","0.03","83","0","0","0","0","0","0","0.75","0.58","0.16","5.4","3.9","9.3","0","0.1","0.4","0.4","1","1.4","2","1175","245","9","18","165","0.8","0.3","0.5","0.1","2.1","2635","9","0.01","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"8238","UK_NDB_3","30101","UK_current","19BAGRSM","Bacon, back/middle, smoked, grilled (including fat)","Bacon, back/middle, smoked, grilled (including fat)","22B","","","50","3.8","6.25","23.7","21.8","0","291","1210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.21","9.05","0.31","2.49","0.09","74","0","0","0","0","0","0","0.57","1.01","0.15","7.2","3.8","11.1","0","0.1","0.5","0.5","0","1.2","4","1520","350","7","21","180","0.6","0.2","0.4","0.05","1.8","2320","7","0.01","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"917","UK_NDB_3","30102","UK_current","19BAJOUN","Bacon/gammon  joint uncooked","Bacon/gammon  joint uncooked","22B","","","63.9","2.6","6.25","16.5","16.5","0","215","891","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.17","6.85","0.24","2","0.08","53","0","0","0","0","0","0","0.3","0.63","0.11","5.6","2.6","8.2","1","0","0.5","0.3","3","1","2","1230","295","5","17","150","0.4","0.2","0.2","0.06","1.2","1890","5","0.01","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"917","UK_NDB_3","30103","UK_current","19BANO00","Bacon, not smoked, uncooked (fat removed)","Bacon, not smoked, uncooked (fat removed)","22B","","","63.9","2.6","6.25","16.5","16.5","0","215","891","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.17","6.85","0.24","2","0.08","53","0","0","0","0","0","0","0.3","0.63","0.11","5.6","2.6","8.2","1","0","0.5","0.3","3","1","2","1230","295","5","17","150","0.4","0.2","0.2","0.06","1.2","1890","5","0.01","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"917","UK_NDB_3","30104","UK_current","19BANO01","Bacon, unsmoked, uncooked (including fat)","Bacon, unsmoked, uncooked (including fat)","22B","","","63.9","2.6","6.25","16.5","16.5","0","215","891","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.17","6.85","0.24","2","0.08","53","0","0","0","0","0","0","0.3","0.63","0.11","5.6","2.6","8.2","1","0","0.5","0.3","3","1","2","1230","295","5","17","150","0.4","0.2","0.2","0.06","1.2","1890","5","0.01","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"11495","UK_NDB_3","30105","UK_current","19BANOSM","Bacon, unsmoked, fried (fat removed)","Bacon, unsmoked, fried (fat removed)","22B","","","55.1","4","6.25","25.2","14","0","227","946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.68","6.12","0.31","1.86","0.05","40","0","0","0","0","0","0","0.69","0.96","0.17","7.6","4.6","12.2","0","0.5","0.5","0.8","0","1.3","5","1491","353","8","23","206","0.7","0.3","0.4","0.07","2.2","1938","8","0.01","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10687","UK_NDB_3","30106","UK_current","19BAPU","Banana puree","Banana puree","40C","","","75","0.2","6.25","1.2","0.1","20.3","81","348","0","0.8","2.2","18.1","1.4","9.1","9.1","7.9","7.5","0","0","2.7","0","0","0","0","0","0","18.1","0","0","0.04","0.01","0.02","0.01","0","0","0","26","12","20","0","4","0","0.14","0.04","0.7","0.2","1","8.7","0.2","0.3","0","14","0.4","3","0","330","6","27","23","0.3","0","0.3","0.1","0.2","109","3","0.36","0","18.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
